session,kaggle_version,wandb_run,step_approx,epoch,metric,value,perplexity,grad_norm,learning_rate,notes
1,10,vg1fhqxx,210,0.06298,train_loss,0.5072,1.6607,0.5352,0.0001998,
1,10,vg1fhqxx,220,0.06598,train_loss,0.5251,1.6907,0.5350,0.0001994,
1,10,vg1fhqxx,230,0.06898,train_loss,0.4852,1.6245,0.3565,0.0001991,
1,10,vg1fhqxx,240,0.07198,train_loss,0.4925,1.6364,0.4251,0.0001988,
1,10,vg1fhqxx,250,0.07498,train_loss,0.4998,1.6484,0.4332,0.0001985,
1,10,vg1fhqxx,260,0.07798,train_loss,0.5245,1.6897,0.5095,0.0001982,
1,10,vg1fhqxx,270,0.08097,train_loss,0.5308,1.7004,0.5159,0.0001979,
1,10,vg1fhqxx,280,0.08397,train_loss,0.5202,1.6824,0.6074,0.0001976,
1,10,vg1fhqxx,290,0.08697,train_loss,0.5003,1.6492,0.6662,0.0001973,
1,10,vg1fhqxx,300,0.08997,train_loss,0.5324,1.7031,0.6041,0.0001970,
1,10,vg1fhqxx,310,0.09297,train_loss,0.5093,1.6642,0.5241,0.0001967,
1,10,vg1fhqxx,320,0.09597,train_loss,0.5036,1.6547,0.6436,0.0001964,
1,10,vg1fhqxx,330,0.09897,train_loss,0.4631,1.5890,0.5391,0.0001960,
1,10,vg1fhqxx,340,0.102,train_loss,0.4827,1.6205,0.6720,0.0001957,
1,10,vg1fhqxx,350,0.105,train_loss,0.4621,1.5874,0.6474,0.0001954,
1,10,vg1fhqxx,360,0.108,train_loss,0.5110,1.6670,0.4970,0.0001951,
1,10,vg1fhqxx,370,0.111,train_loss,0.4973,1.6443,0.5695,0.0001948,
1,10,vg1fhqxx,380,0.114,train_loss,0.5066,1.6597,0.5349,0.0001945,
1,10,vg1fhqxx,390,0.117,train_loss,0.5195,1.6812,0.4769,0.0001942,
1,10,vg1fhqxx,400,0.12,train_loss,0.4991,1.6472,0.5941,0.0001939,
1,10,vg1fhqxx,400,0.12,eval_loss,0.4997,1.6482,,,eval_runtime=261.9s samples_per_s=6.3
1,10,vg1fhqxx,410,0.123,train_loss,0.5148,1.6733,0.6228,0.0001936,
1,10,vg1fhqxx,420,0.126,train_loss,0.5049,1.6568,0.4473,0.0001933,
1,10,vg1fhqxx,430,0.129,train_loss,0.4843,1.6231,0.5263,0.0001930,
1,10,vg1fhqxx,440,0.132,train_loss,0.4585,1.5817,0.6541,0.0001926,
1,10,vg1fhqxx,450,0.135,train_loss,0.5211,1.6839,0.5039,0.0001923,
1,10,vg1fhqxx,460,0.138,train_loss,0.4983,1.6459,0.5547,0.0001920,
1,10,vg1fhqxx,470,0.141,train_loss,0.4922,1.6359,0.5355,0.0001917,
1,10,vg1fhqxx,480,0.144,train_loss,0.5033,1.6541,0.5690,0.0001914,
1,10,vg1fhqxx,490,0.147,train_loss,0.4826,1.6203,0.5929,0.0001911,
1,10,vg1fhqxx,500,0.15,train_loss,0.4551,1.5763,0.5117,0.0001908,
1,10,vg1fhqxx,510,0.153,train_loss,0.4751,1.6082,0.6758,0.0001905,
1,10,vg1fhqxx,520,0.156,train_loss,0.5024,1.6526,0.7135,0.0001902,
1,10,vg1fhqxx,530,0.159,train_loss,0.4971,1.6439,0.6347,0.0001899,
1,10,vg1fhqxx,540,0.1619,train_loss,0.4883,1.6296,0.5561,0.0001896,
1,10,vg1fhqxx,550,0.1649,train_loss,0.4775,1.6120,0.5668,0.0001892,
1,10,vg1fhqxx,560,0.1679,train_loss,0.5147,1.6731,0.7358,0.0001889,
1,10,vg1fhqxx,570,0.1709,train_loss,0.4704,1.6007,0.6979,0.0001886,
1,10,vg1fhqxx,580,0.1739,train_loss,0.4957,1.6416,0.5783,0.0001883,
1,10,vg1fhqxx,590,0.1769,train_loss,0.4642,1.5908,0.5551,0.0001880,
1,10,vg1fhqxx,600,0.1799,train_loss,0.4924,1.6362,0.6134,0.0001877,
1,10,vg1fhqxx,600,0.1799,eval_loss,0.4891,1.6308,,,eval_runtime=261.9s
1,10,vg1fhqxx,630,0.18894,train_loss,0.4573,1.5798,0.5374,0.00018677,wandb summary snapshot
1,10,vg1fhqxx,1200,0.3599,eval_loss,0.4775,1.6120,,,eval_runtime=261.9s
1,10,vg1fhqxx,1330,0.3989,train_loss,0.4618,1.5869,0.5824,0.0001651,last captured before stop
1,10,vg1fhqxx,1357,0.407,session_end,,,,,TimeLimitCallback stop at 240.0 min; checkpoint-1357 saved
